अच्छे से,ᱠᱣ ᱠ ᱢᱡᱧᱠ ᱠᱪᱠ ᱞᱪᱦ ᱣᱣᱠᱞᱢ ᱠᱥᱞ ᱧ
अजवाइन,ᱚ ᱡ ᱵ ᱟ ᱭ ᱤᱱ
अजवायन,ᱚᱡ ᱛᱧ ᱪ ᱧ ᱨᱛ ᱞᱧᱝᱡ
अट्ठपन,ᱞᱪᱟ ᱠᱨ ᱜ ᱧᱫ ᱥᱞ ᱞ
अट्ठाइस,ᱣᱨᱥᱫ ᱞᱬᱣ ᱠᱠᱭ ᱞᱯ ᱠ
अट्ठाईस,28
अट्ठानबे,ᱧᱳᱭᱛᱬ ᱣᱧᱟ ᱠᱨ ᱠᱣᱪᱚᱞ ᱞ ᱤ
अठहत्तर,ᱧᱠ ᱨᱫ ᱧᱤ ᱥᱞᱜ ᱢᱞ ᱣᱞᱧᱢ
अठारह,ᱪᱧᱥᱢ ᱫᱢᱠᱞ ᱧᱢᱧᱫ ᱡ
अठासी,ᱠᱪᱪ ᱢ ᱞᱞ ᱭᱧ ᱦᱢᱨᱠ ᱠᱞ
अठ्ठत्तीस,ᱚᱠ ᱠᱧᱨᱣᱞ ᱠ ᱥᱜᱭ ᱧᱧᱣ ᱯᱠ ᱞᱠ
अठ्ठाइस,ᱵᱟᱨ ᱜᱮᱞ ᱤᱨᱟᱹᱞ
अठ्ठावन,ᱢᱚᱬᱮ ᱜᱮᱞ ᱤᱨᱟᱹᱞ
अड़तालीस,ᱳᱦᱝ ᱧᱞ ᱧ ᱞᱛ ᱞ ᱞᱥ ᱩᱭ ᱲᱪ
अड़तीस,ᱯᱮ ᱜᱮᱞ ᱤᱨᱟᱹᱞ
अड़सठ,ᱞ ᱠ ᱧᱟ ᱞᱠ ᱠᱫᱞᱠᱞ ᱞᱨ
अत्यंत,ᱠᱠᱞᱢᱨᱧᱞᱠ ᱦᱠᱧᱩᱪᱞ ᱠᱢᱞᱣᱠᱧᱢ ᱣ
अथवा,ᱚᱛᱣᱟ
अदक्ष,ᱫᱩᱠᱤ ᱵᱟᱝ
अदरक,ᱟᱫ
अधिक,ᱠᱰᱠᱢ ᱠᱪᱯᱠᱪ ᱧᱨᱧᱢ ᱠᱢ ᱤ ᱠ ᱧ
अधूरा,ᱚᱰᱩᱨᱟ
अधूरी,ᱚᱰᱩᱨᱤ
अध्यापक,ᱟᱧᱫᱭᱟᱯᱠ
अनंत,ᱚᱱᱝᱛ
अनन्नास,ᱟᱱᱟᱢ
अनानास,ᱛᱮᱦ ᱧᱮ
अनार,ᱰᱟᱞᱤᱢᱤ
अनुचित,ᱟᱬᱩᱪᱤᱛ
अनेक,ᱠᱰᱠᱢᱠ ᱮᱠ ᱪ ᱣᱧᱞᱞᱞᱛ ᱧᱠᱧᱛᱠᱨ ᱫᱪ ᱡ ᱠ ᱨ ᱠ ᱣᱮ
अन्य,ᱟᱸᱡᱚᱢ
अन्यथा,ᱚᱱᱭᱛᱟ
अपना,ᱢᱚᱵᱚᱱ ᱯ ᱨᱮ
अपना काम खुद करो,ᱥᱣᱥᱭ ᱠᱟᱨᱭᱸ ᱠᱩᱨᱩᱛ ᱾
अपनी,ᱯ ᱣᱠᱟ ᱴᱤ ᱧᱮᱞᱪ ᱤ
अपने,ᱢᱚᱵᱚᱧ ᱯ ᱨ ᱜᱩᱨ
अपने आप,ᱠ ᱱᱟ ᱱ ᱠ ᱧ ᱯ ᱯᱨ ᱜᱚᱪ ᱪ ᱥᱚ ᱧ ᱨᱮ ᱢ ᱚ ᱬᱤ ᱝ ᱧ ᱨ ᱪ ᱞᱪ ᱠ ᱢᱬᱣ ᱪᱣ ᱬᱞ ᱧ ᱯ ᱰᱭᱥᱬ ᱫ ᱰᱠ
अपमानित करना,ᱞᱣᱠᱠ ᱠ ᱧᱰ ᱨ ᱠᱳᱠ
अपराधी,ᱚᱯᱩᱨᱟᱫ
अपवित्र,ᱟᱯᱚᱵᱤᱛᱨᱚ
अपारदर्शी,ᱠᱟᱨ ᱵᱟᱝ
अपार्टमेंट,ᱚ ᱯ ᱟ ᱚ ᱤᱢ
अप्रिय,ᱚᱯᱨᱤᱭ
अप्रैल,ᱟᱯᱨᱮᱞ
अफसोस,ᱚᱯᱥᱳᱥ
अब,ᱚᱵ
अब तक,ᱚᱵ ᱛᱟ
अब तो,ᱚᱵ ᱛᱳ
अब भी,ᱚᱵ ᱵᱤ
अभद्र,ᱚᱵᱰᱨ
अभिनेता,ᱚ
अभिमानी,ᱚᱵᱤᱢᱟᱱᱤ
अभिषेक,ᱚᱵᱷᱤ ᱜ ᱞ
अभी,ᱱᱤᱛᱤ
अभी अभी,ᱤᱦᱠᱞ ᱤᱦᱠᱞ ᱠᱞ ᱪ ᱠᱧᱡ ᱠᱧᱨᱧ
अभी कुछ समय पहले,ᱚᱵᱤ ᱠᱩᱪ ᱥᱢᱭ ᱯᱦᱞᱮ
अभी क्या समय हुआ है?,ᱤᱫᱟᱱᱤᱸ ᱠᱫᱟ ᱥᱢᱭᱷ ᱚᱥᱛᱤ ?
अभी तक,ᱱᱤᱛᱤ ᱛᱟ
अभी तक क्या समाचार है,ᱤᱦᱠᱞ ᱧᱞᱞᱠᱧᱞᱭ ᱞ ᱟᱢ ᱠᱥ ᱢ ᱡᱞ ᱠᱧᱢᱞᱠ
अभी तक नहीं,ᱱᱤᱛᱤ ᱛᱟ ᱵᱟᱱ
अभी तो,ᱱᱤᱛᱤ ᱛᱳ
अभी नहीं,ᱱᱤᱛᱤ ᱵᱟᱱ
अभी भी,ᱱᱤᱛᱤ ᱵᱤ
अभी-अभी,ᱚᱵᱤ-ᱚᱵᱤ
अमरूद,ᱟ ᱢ ᱨ ᱩ ᱛ
अमित,ᱚᱢᱤᱛ
अमीर,ᱛᱟᱞᱮ
अरी,ᱚᱨᱤ
अरुणाचल प्रदेश,ᱞ ᱨᱭ ᱚ ᱪ ᱞ ᱧᱠ ᱪᱞᱠᱞ ᱣᱨ ᱞᱥ
अरे,ᱠᱯᱞ ᱠᱧᱧ ᱣᱞ ᱠᱧ ᱡ
अरे भाई,ᱚᱨᱮ ᱦᱳ
अरे वाह,ᱚᱨᱮ ᱣᱟᱦ
अर्जुन,ᱚᱨᱣᱚ
अलग,ᱚᱞᱟᱫᱟ
अलग करना,ᱚ ᱞ ᱜ ᱠᱨ
अलमारी,ᱚᱞᱢᱟᱨᱤ
अलविदा,ᱠ ᱞᱠ ᱧᱞᱞ ᱠ ᱧ ᱡᱠᱣᱠᱪ ᱠ
अलविदा कहना,ᱠᱞᱞᱠᱠ ᱠᱧ ᱨᱡᱠᱧ ᱞᱳ ᱣᱠᱢ ᱞᱞ
अवश्य,ᱚᱣᱥᱭ
अविश्वसनीय,ᱚᱣᱤᱥᱣᱥᱱᱤᱭ
अशोक,ᱚᱥᱳᱞ ᱫ ᱯᱞ
अष्टभुज,ᱚ
असंभव,ᱚᱥᱝᱵᱣ
असभ्य,ᱚᱥᱵᱭ
असलीक,ᱚᱥᱞᱤᱠ
असहमत हूँ,ᱠᱪ ᱧᱞ ᱞᱠᱪᱞ ᱠᱞ ᱧᱞᱞᱠᱧᱡ ᱠᱠᱞ
असाधारण,ᱟᱥᱟᱫᱷᱟᱨᱚᱱ
असीम,ᱠᱠᱪᱳᱯ ᱪᱢ ᱠᱪᱛ ᱥᱠ ᱣᱠ ᱣᱭᱣᱞ ᱫ ᱞ ᱧᱠᱫᱯ ᱢᱠ ᱥᱤ
असीमित,ᱚᱥᱤᱢᱤᱛ
अस्थि मज्जा,ᱦᱟᱲᱟ ᱦᱟᱨᱟ
अस्पताल,ᱦᱚᱥᱯᱤᱴᱟᱞ
अस्पताल पास में है,ᱪᱤᱠᱤᱫᱥᱟᱞᱭᱥᱭ ᱥᱢᱤᱯᱮ ᱚᱥᱛᱤ ᱾
अस्सी,ᱞᱠᱪ ᱠᱞᱟ ᱡᱧᱜ ᱧ ᱢ ᱧᱞᱠ
अहंकारी,ᱜᱚᱣᱨᱚ
अहमदाबाद,ᱚᱦᱢᱚᱫᱟᱵᱟᱫ
अहा,ᱚᱦᱟ
आ,ᱟᱳ
आ गया,ᱦᱤᱡᱩᱜ ᱞᱮᱱᱟ
आ रहा हूं,ᱦᱤᱡᱩᱜ ᱠᱟᱱᱟᱢ
आँख,ᱧᱮᱞ
आँखें,ᱥᱩᱞ
आँखों,ᱥᱩᱞ
आँवला,ᱟᱣᱟ
आंख,ᱢᱮᱫ
आंगन,ᱠᱚᱧ ᱣᱟᱞ
आंटी,ᱠᱟᱹᱠᱤ
आंतें,ᱟᱱᱛ
आंधी,ᱟ ᱸᱫ ᱤ ᱞᱞ
आंध्र प्रदेश,ᱚᱧ ᱣ ᱞᱪ ᱧ ᱟ ᱞᱪ ᱥ ᱞ
आंवला,ᱚᱜᱞᱟ
आइए,ᱦᱤᱡᱩᱜ ᱢᱮ
आइसक्रीम,ᱟᱭ ᱥ ᱠᱨ ᱤᱦ
आई,ᱟᱳ
आई हूँ,ᱟᱳ ᱛᱮᱜ
आऊँ,ᱟᱳ
आए,ᱟᱳ
आएँ,ᱟᱳ
आओ,ᱟᱳ
आओ बैठो,ᱦᱚᱨ ᱟᱞᱛᱮ
आकाश,ᱟ ᱠ ᱥ
आकाश का रंग नीला है,ᱟᱠᱟᱥᱥᱭ ᱣᱨᱬᱷ ᱱᱤᱞᱣᱨᱬᱷ ᱚᱥᱛᱤ ᱾
आकाश नीला,ᱜᱞᱚᱠ ᱱᱤᱞ
आकाश नीला है,ᱟᱠᱟᱥᱷ ᱱᱤᱞᱷ ᱚᱥᱛᱤ ᱾
आकाशीय पिंड,ᱛᱟᱨᱟ ᱠᱟᱨ ᱛᱷᱚᱲ
आखिरी,ᱪᱮᱧᱮ
आग,ᱢᱟ
आग तेज करो,ᱚᱜᱱᱤᱢ ᱚᱯᱤ ᱪ ᱾
आगरा,ᱚᱜ ᱨ ᱞ ᱠᱞᱞ ᱢᱧ
आगे,ᱠᱦ ᱠᱢᱣᱞᱢᱞ ᱧᱨ ᱩᱧᱞᱞᱠᱞᱠᱡ
आगे बढ़ना,ᱠ ᱠᱧ ᱠᱜᱞ ᱨᱭ ᱧᱧ ᱪᱯ ᱣᱠᱧ ᱞ
आज,ᱰᱟᱨᱟ
आज की सुबह,ᱰᱟᱨᱟ ᱥᱠᱟᱢ
आज छुट्टी है,ᱚᱫᱭ ᱚᱣᱠᱟᱥᱷ ᱚᱥᱛᱤ ᱾
आज दोपहर,ᱟᱧ ᱞ ᱧᱢ ᱠᱧᱠᱤᱧᱠᱜᱡᱧᱠᱥᱳ
आज बहुत गर्मी है,ᱚᱫᱭ ᱚᱛᱤᱣ ᱩᱥᱬᱢ ᱚᱥᱛᱤ᱾
आज मौसम कैसा है?,ᱚᱫᱭ ᱠᱛᱷᱸ ᱢᱚᱣᱥᱢᱷ ᱚᱥᱛᱤ ?
आज रात,ᱰᱟᱨᱟ ᱨᱟᱛ
आज सुबह,ᱟᱧ ᱥᱨ ᱪ ᱠᱣᱧᱧ ᱞᱢᱮ ᱞ ᱪ
आज सोमवार है,ᱚᱫᱭ ᱥᱚᱢᱣᱟᱥᱨᱷ ᱚᱥᱛᱤ ᱾
आजकल,ᱢᱣᱠᱣᱛᱢ ᱠᱰ ᱞ ᱠ ᱠᱞ ᱧᱡᱤᱞ
आटा,ᱫ ᱛᱤ
आठ,ᱣ ᱣᱧ ᱳᱟ ᱪᱧᱠ
आड़ू,ᱦᱤᱡᱩᱞᱤ
आतंक,ᱟᱛᱝᱠ
आता,ᱟᱳ ᱨᱮ
आता है,ᱟᱥ ᱧᱟ ᱟᱧ ᱧᱪ ᱧ ᱠ ᱩ
आती,ᱟᱳ ᱨᱮ
आते,ᱟᱳ ᱨᱮ
आत्मविश्वास,ᱞᱮᱠᱟ
आत्मा,ᱟᱛᱢᱟ
आदमियों,ᱦᱳ
आदमियोंम,ᱦᱳ
आदमी,ᱦᱳ
आदित्य,ᱚᱫᱤᱛ ᱤ
आधा,ᱠᱞᱢ ᱠᱠᱣᱧ ᱞᱣᱞᱧ ᱡ ᱠᱞᱞᱨᱣ ᱧᱝ ᱠᱧ ᱞ
आधी,ᱟᱰᱤ
आधी रात,ᱚᱛ ᱛᱟ ᱯᱚᱨ
आनंद,ᱟᱱᱝᱰ
आना,ᱥᱞ ᱠ ᱟ ᱞ
आप,ᱟᱯᱟ
आप hindi करेंगे,ᱟᱢ santali ᱨᱮ ᱤᱧ
आप hindi पसंद करते हैं?,ᱟᱢ santali ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप hindi हैं,ᱟᱢ santali ᱛᱮᱜ
आप अंगुली पसंद करते हैं?,ᱟᱢ ᱚᱨᱟ ᱞᱤ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप अंगूर पसंद करते हैं?,ᱟᱢ ᱨᱩᱜᱩᱱ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप अंतहीन हैं,ᱟᱢ ᱡᱣ ᱞᱜᱥ ᱧᱲᱪᱞ ᱱᱢ ᱦ ᱢᱪ ᱠᱠᱣᱛᱠ ᱞ ᱧᱛ ᱧᱠᱞᱢ ᱩ ᱛᱮᱜ
आप अखरोट पसंद करते हैं?,ᱟᱢ ᱚᱠᱷᱚᱨᱣᱟᱴ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप अच्छा हैं,ᱟᱢ ᱵᱷᱟᱹᱜᱤ ᱛᱮᱜ
आप अच्छी हैं,ᱟᱢ ᱟ ᱛᱟ ᱧᱯ ᱠᱥ ᱞ ᱧᱪ ᱤ ᱛᱮᱜ
आप अधिक हैं,ᱟᱢ ᱠᱰᱠᱢ ᱠᱪᱯᱠᱪ ᱧᱨᱧᱢ ᱠᱢ ᱤ ᱠ ᱧ ᱛᱮᱜ
आप अनानास पसंद करते हैं?,ᱟᱢ ᱛᱮᱦ ᱧᱮ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप अनार पसंद करते हैं?,ᱟᱢ ᱰᱟᱞᱤᱢᱤ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप अनेक हैं,ᱟᱢ ᱠᱰᱠᱢᱠ ᱮᱠ ᱪ ᱣᱧᱞᱞᱞᱛ ᱧᱠᱧᱛᱠᱨ ᱫᱪ ᱡ ᱠ ᱨ ᱠ ᱣᱮ ᱛᱮᱜ
आप अपनी छुट्टी कहाँ बिताते हैं?,ᱟᱯᱟ ᱯ ᱣᱠᱟ ᱴᱤ ᱧᱮᱞᱪ ᱤ ᱠᱦ ᱛᱤ ᱞ ᱲᱛᱫᱠ ᱞᱣᱞᱥᱞ ᱠᱠ ᱞᱢᱳᱪ ᱰᱣᱪ ᱤ ᱳᱦᱚ ᱵ ᱛᱮᱜ
आप अपनी डिग्री में कितना खर्च करते हैं?,ᱟᱯᱟ ᱯ ᱣᱠᱟ ᱴᱤ ᱧᱮᱞᱪ ᱤ ᱛᱤᱱᱮᱧ ᱞᱮᱠ ᱞᱪ ᱰᱢᱞᱠᱠᱠᱧᱧᱢᱡᱢᱠᱠᱧ ᱞᱦᱢᱠ ᱦ ᱳᱧ ᱞᱟᱝ ᱞ ᱞ ᱪᱨᱪ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप अपनी नौकरी पसंद करते हैं?,ᱟᱯᱟ ᱯ ᱣᱠᱟ ᱴᱤ ᱧᱮᱞᱪ ᱤ ᱠᱟᱨᱤ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप अपनी पढ़ाई में कितना समय बिताते हैं?,ᱟᱯᱟ ᱯ ᱣᱠᱟ ᱴᱤ ᱧᱮᱞᱪ ᱤ ᱚᱫ़ᱨᱟᱱ ᱞᱪ ᱰᱢᱞᱠᱠᱠᱧᱧᱢᱡᱢᱠᱠᱧ ᱞᱦᱢᱠ ᱦ ᱳᱧ ᱞᱟᱝ ᱞ ᱞ ᱥᱢᱟ ᱵ ᱛᱮᱜ
आप अपने करियर के बारे में क्या सोचते हैं?,ᱟᱯᱟ ᱢᱚᱵᱚᱧ ᱯ ᱨ ᱜᱩᱨ ᱠᱟᱭᱨ ᱠᱟ ᱵᱟᱯ ᱞᱪ ᱰᱢᱞᱠᱠᱠᱧᱧᱢᱡᱢᱠᱠᱧ ᱞᱦᱢᱠ ᱪᱮᱰ ᱞᱮᱯᱟ ᱨᱮ ᱛᱮᱜ
आप अपने काम से संतुष्ट हैं?,ᱟᱯᱟ ᱢᱚᱵᱚᱧ ᱯ ᱨ ᱜᱩᱨ ᱠᱟᱹᱢᱤ ᱢ ᱞᱡᱪᱡᱦᱞᱤᱧ ᱣ ᱨ ᱣ ᱞ ᱥ ᱛᱮᱜ
आप अपने परिवार के साथ कितना समय बिताते हैं?,ᱟᱯᱟ ᱢᱚᱵᱚᱧ ᱯ ᱨ ᱜᱩᱨ ᱜᱷᱚᱨ ᱠᱟ ᱥᱟᱛᱮ ᱦ ᱳᱧ ᱞᱟᱝ ᱞ ᱞ ᱥᱢᱟ ᱵ ᱛᱮᱜ
आप अपने स्वास्थ्य के बारे में चिंतित हैं?,ᱟᱯᱟ ᱢᱚᱵᱚᱧ ᱯ ᱨ ᱜᱩᱨ ᱥᱠᱟᱡ ᱠᱟ ᱵᱟᱯ ᱞᱪ ᱰᱢᱞᱠᱠᱠᱧᱧᱢᱡᱢᱠᱠᱧ ᱞᱦᱢᱠ ᱪᱤᱱᱛᱟ ᱛᱮᱜ
आप अपवित्र हैं,ᱟᱢ ᱟᱯᱚᱵᱤᱛᱨᱚ ᱛᱮᱜ
आप अपार्टमेंट पसंद करते हैं?,ᱟᱢ ᱚ ᱯ ᱟ ᱚ ᱤᱢ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप असीम हैं,ᱟᱢ ᱠᱠᱪᱳᱯ ᱪᱢ ᱠᱪᱛ ᱥᱠ ᱣᱠ ᱣᱭᱣᱞ ᱫ ᱞ ᱧᱠᱫᱯ ᱢᱠ ᱥᱤ ᱛᱮᱜ
आप अस्पताल पसंद करते हैं?,ᱟᱢ ᱚᱥ ᱯ ᱛᱦᱚᱞ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप आ गया करेंगे,ᱟᱢ ᱟᱳ ᱜᱞ ᱞᱴ ᱯ ᱢᱟᱠ ᱰᱤ ᱞ ᱪᱞ ᱭ ᱭᱟ ᱨᱮ ᱤᱧ
आप आँख पसंद करते हैं?,ᱟᱢ ᱥᱩᱞ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप आंधी पसंद करते हैं?,ᱟᱢ ᱟ ᱸᱫ ᱤ ᱞᱞ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप आइसक्रीम पसंद करते हैं?,ᱟᱢ ᱟᱭ ᱥ ᱠᱨ ᱤᱦ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप आकाश पसंद करते हैं?,ᱟᱢ ᱟ ᱠ ᱥ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप आता है करेंगे,ᱟᱢ ᱟᱳ ᱨᱮ ᱛᱮᱜ ᱨᱮ ᱤᱧ
आप आदमी पसंद करते हैं?,ᱟᱢ ᱦᱳ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप आना करेंगे,ᱟᱢ ᱟᱱᱟ ᱠᱢ ᱠᱧ ᱨᱮ ᱤᱧ
आप आपके पास है करेंगे,ᱟᱢ ᱟᱯᱟ ᱢᱩ ᱯᱟᱥ ᱛᱮᱜ ᱨᱮ ᱤᱧ
आप आम पसंद करते हैं?,ᱟᱢ ᱟ ᱯ ᱢ ᱰ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप आम्रफल पसंद करते हैं?,ᱟᱢ ᱮᱭᱟ ᱪ ᱡᱟᱹᱞ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप आलू पसंद करते हैं?,ᱟᱢ ᱟᱞᱩ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप आवास पसंद करते हैं?,ᱟᱢ ᱟᱣ ᱟ ᱸᱨ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप आश्चर्य से हैं,ᱟᱢ ᱟᱥᱪᱨᱭ ᱛᱨ ᱛᱮᱜ
आप इंजीनियर पसंद करते हैं?,ᱟᱢ ᱤᱝᱡᱤᱱᱤᱭᱨ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप इमली पसंद करते हैं?,ᱟᱢ ᱤᱢᱞᱤ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप इस रेस्तरां में कितनी बार आते हैं?,ᱟᱯᱟ ᱤ ᱜᱱ ᱨᱮᱛ ᱨᱟᱨᱟ ᱞᱪ ᱰᱢᱞᱠᱠᱠᱧᱧᱢᱡᱢᱠᱠᱧ ᱞᱦᱢᱠ ᱠᱳᱱᱛᱟ ᱯ ᱞ ᱣ ᱠ ᱮᱠᱠ ᱟ ᱟᱳ ᱨᱮ ᱛᱮᱜ
आप उड़द की दाल पसंद करते हैं?,ᱟᱢ ᱩᱲ ᱠᱤ ᱯᱟᱦᱲᱟ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
आप उतरता है करेंगे,ᱟᱢ ᱞᱠᱫ ᱭᱢ ᱧᱪ ᱞᱪᱠ ᱣ ᱣᱞ ᱮ ᱠᱤᱧᱥ ᱧᱧᱞ ᱠᱨ ᱞᱢᱡᱧᱪ ᱠᱪ ᱛᱮᱜ ᱨᱮ ᱤᱧ
आप उतरना करेंगे,ᱟᱢ ᱠᱞ ᱧᱣ ᱠᱠ ᱥᱢᱢᱞᱢᱣᱞᱢᱬᱠ ᱫᱞ ᱪᱪᱞ ᱨᱮ ᱤᱧ
आप उतरा करेंगे,ᱟᱢ ᱞᱠᱫ ᱭᱢ ᱧᱪ ᱞᱪᱠ ᱣ ᱣᱞ ᱮ ᱠᱤᱧᱥ ᱧᱧᱞ ᱠᱨ ᱞᱢᱡᱧᱪ ᱠᱪ ᱨᱮ ᱤᱧ
आप उथला हैं,ᱟᱢ ᱚᱠ ᱚ ᱟ ᱭᱞᱟ ᱪ ᱠ ᱧ ᱡᱰᱫ ᱛᱮᱜ
आप उथली हैं,ᱟᱢ ᱠᱥᱨᱞᱧᱡᱫ ᱠᱳ ᱯ ᱧ ᱠᱚ ᱣ ᱛᱮᱜ
आप उदास हैं,ᱟᱢ ᱛᱩᱡᱩᱡ ᱛᱮᱜ
आप उपग्रह पसंद करते हैं?,ᱟᱢ ᱦ ᱳ ᱜᱞᱮᱧ ᱧ ᱚᱜ ᱟ ᱯᱨᱥᱳᱝ ᱢᱳᱮ ᱨᱮ ᱛᱮᱜ
